ConditionTypeText	BodyColorText	ID	MakeText	ModelText	ModelTypeText	TypeName	TypeNameFull	BodyTypeText	Ccm	City	Co2EmissionText	ConsumptionRatingText	ConsumptionTotalText	Doors	DriveTypeText	FirstRegMonth	FirstRegYear	FuelTypeText	Hp	InteriorColorText	Km	Properties	Seats	TransmissionTypeText	BodyColorTextShort	BodyColorTextEng	ConditionTypeTextEng	MakeTextNorm	extracted-value-ConsumptionTotalText	extracted-unit-ConsumptionTotalText
Occasion	blau mét.	139.0	BMW	750	750i	750i	BMW 750i	Limousine	5377	Zuzwil	338 g/km	null	14.2 l/100km	4	Hinterradantrieb	7	1995	Benzin	327	grau	119600	"\"Ab MFK\""	5	Automat	blau	Blue	Occasion	Bmw	14.2	l/100km
Occasion	anthrazit mét.	14.0	AUDI	Cabriolet	Cabriolet 2.8 E	Cabriolet 2.8 E	AUDI Cabriolet 2.8 E	Cabriolet	2771	Zuzwil	254 g/km	null	11.4 l/100km	2	Vorderradantrieb	7	1996	Benzin	174	mehrfarbig	120200	"\"Ab MFK\""	4	Automat	anthrazit	Anthracite	Occasion	Audi	11.4	l/100km
Occasion	blau mét.	140.0	AUDI	RS6	RS6 Avant 5.0 V10 quattro	RS6 Avant 5.0 V10 quattro	AUDI RS6 Avant 5.0 V10 quattro	Kombi	4991	Zuzwil	333 g/km	G	14.0 l/100km	5	Allrad	10	2008	Benzin	580	silber	49800	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Audi	14.0	l/100km
Occasion	blau mét.	141.0	MERCEDES-BENZ	C 230	C 230 Elégance	C 230 Elégance	MERCEDES-BENZ C 230 Elégance	Limousine	2295	Zuzwil	223 g/km	null	9.4 l/100km	4	Hinterradantrieb	2	1997	Benzin	150	beige	123400	"\"Ab MFK\""	5	Automatik-Getriebe	blau	Blue	Occasion	Mercedes-benz	9.4	l/100km
Occasion	blau mét.	142.0	LAMBORGHINI	GALLARDO	Gallardo LP570-4 Coupé SL	Gallardo LP570-4 Coupé SL	LAMBORGHINI Gallardo LP570-4 Coupé SL	Coupé	5204	Zuzwil	319 g/km	G	13.5 l/100km	2	Allrad	3	2011	Benzin	570	schwarz	18000	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Lamborghini	13.5	l/100km
Occasion	blau mét.	143.0	MERCEDES-BENZ	S 65 AMG	S 65 AMG L	S 65 AMG L	MERCEDES-BENZ S 65 AMG L	Limousine	5981	Zuzwil	355 g/km	G	14.8 l/100km	4	Hinterradantrieb	8	2006	Benzin	612	schwarz	68800	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Mercedes-benz	14.8	l/100km
Occasion	blau mét.	144.0	RENAULT	Alpine A110	Alpine A110 A5 Motor	A5 Motor	RENAULT Alpine A110 A5 Motor	Coupé	1397	Zuzwil	null	null	null	2	Hinterradantrieb	5	1977	Benzin	93	schwarz	39267	"\"Ab MFK\""	2	Schaltgetriebe	blau	Blue	Occasion	Renault	null	""
Occasion	blau mét.	145.0	MERCEDES-BENZ	190	190 E 2.5-16 ABS	190 E 2.5-16 ABS	MERCEDES-BENZ 190 E 2.5-16 ABS	Limousine	2497	Zuzwil	null	null	null	4	Hinterradantrieb	10	1990	Benzin	195	schwarz	162000	null	5	Schaltgetriebe manuell	blau	Blue	Occasion	Mercedes-benz	null	""
Occasion	blau mét.	146.0	BMW	2002	2002 Turbo	Turbo	BMW 2002 Turbo	Limousine	1990	Zuzwil	null	null	null	2	Hinterradantrieb	1	1974	Benzin	180	schwarz	7990	"\"Ab MFK\""	4	Schaltgetriebe	blau	Blue	Occasion	Bmw	null	""
Occasion	blau mét.	147.0	FORD (USA)	MUSTANG	Mustang 5.0 GT Premium 50 Years	5.0 GT Premium 50 Years	FORD (USA) Mustang 5.0 GT Premium 50 Years	Coupé	4951	Zuzwil	281 g/km	null	12.0 l/100km	2	Hinterradantrieb	4	2015	Benzin	425	schwarz	4300	"\"Ab MFK\""	4	Automatik-Getriebe	blau	Blue	Occasion	Ford (usa)	12.0	l/100km
Occasion	blau mét.	148.0	LAMBORGHINI	GALLARDO	Gallardo LP550-2 Cpé V.B.	Gallardo LP550-2 Cpé V.B.	LAMBORGHINI Gallardo LP550-2 Cpé V.B.	Coupé	5204	Zuzwil	315 g/km	G	13.3 l/100km	2	Hinterradantrieb	9	2009	Benzin	551	null	7300	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Lamborghini	13.3	l/100km
Occasion	blau mét.	149.0	FERRARI	F430	F430 Spider	F430 Spider	FERRARI F430 Spider	Cabriolet	4308	Porrentruy	420 g/km	G	18.3 l/100km	2	Hinterradantrieb	6	2007	Benzin	486	rot	53500	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Ferrari	18.3	l/100km
Occasion	anthrazit mét.	15.0	LAND ROVER	RANGE ROVER	Range Rover 3.6 d HSE	Range Rover 3.6 d HSE	LAND ROVER Range Rover 3.6 d HSE	SUV / Geländewagen	3628	Zuzwil	299 g/km	G	11.3 l/100km	5	Allrad	2	2007	Diesel	272	grau	99900	"\"Ab MFK\""	5	Automat	anthrazit	Anthracite	Occasion	Land Rover	11.3	l/100km
Occasion	blau mét.	150.0	MERCEDES-BENZ	CL 500	CL 500	CL 500	MERCEDES-BENZ CL 500	Coupé	4966	Zuzwil	299 g/km	G	12.4 l/100km	2	Hinterradantrieb	12	2001	Benzin	306	schwarz	116100	"\"Ab MFK\""	4	Automat	blau	Blue	Occasion	Mercedes-benz	12.4	l/100km
Occasion	blau mét.	151.0	MASERATI	QUATTROPORTE	Quattroporte 4.7 S	Quattroporte 4.7 S	MASERATI Quattroporte 4.7 S	Limousine	4691	Zuzwil	365 g/km	G	15.7 l/100km	4	Hinterradantrieb	2	2009	Benzin	431	beige	96000	"\"Ab MFK\", \"Direkt-/Parallelimport\""	5	Automat sequentiell	blau	Blue	Occasion	Maserati	15.7	l/100km
Occasion	blau mét.	152.0	BMW	530	530d Touring	530d Touring	BMW 530d Touring	Kombi	2993	Zuzwil	192 g/km	null	7.2 l/100km	5	Hinterradantrieb	11	2004	Diesel	218	schwarz	108500	"\"Ab MFK\""	5	Automatik-Getriebe	blau	Blue	Occasion	Bmw	7.2	l/100km
Occasion	blau mét.	153.0	VW	EOS	Eos 2.0 FSI T	Eos 2.0 FSI T	VW Eos 2.0 FSI T	Cabriolet	1984	Zuzwil	202 g/km	G	8.4 l/100km	2	Vorderradantrieb	9	2007	Benzin	200	rot	27000	"\"Ab MFK\""	4	Schaltgetriebe manuell	blau	Blue	Occasion	Vw	8.4	l/100km
Occasion	blau mét.	154.0	AUDI	A6	A6 4.2 V8 quattro	A6 4.2 V8 quattro	AUDI A6 4.2 V8 quattro	Limousine	4163	Zuzwil	278 g/km	G	11.6 l/100km	4	Allrad	3	2004	Benzin	335	beige	62000	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Audi	11.6	l/100km
Occasion	blau mét.	155.0	MERCEDES-BENZ	E 55 AMG	E 55 AMG Avantgarde	E 55 AMG Avantgarde	MERCEDES-BENZ E 55 AMG Avantgarde	Limousine	5439	Zuzwil	301 g/km	null	12.6 l/100km	4	Hinterradantrieb	2	1998	Benzin	354	schwarz	86900	"\"Ab MFK\""	5	Automat	blau	Blue	Occasion	Mercedes-benz	12.6	l/100km
Occasion	blau mét.	156.0	PORSCHE	911	911 Carrera Cabrio	911 Carrera Cabrio	PORSCHE 911 Carrera Cabrio	Cabriolet	3387	Zuzwil	295 g/km	null	12.0 l/100km	2	Hinterradantrieb	1	1999	Benzin	300	schwarz	34400	"\"Ab MFK\""	4	Schaltgetriebe manuell	blau	Blue	Occasion	Porsche	12.0	l/100km
Occasion	blau mét.	157.0	BMW	X3	X3 3.0i	X3 3.0i	BMW X3 3.0i	SUV / Geländewagen	2979	Zuzwil	276 g/km	null	11.4 l/100km	5	Allrad	10	2004	Benzin	231	beige	86200	"\"Ab MFK\""	5	Automatik-Getriebe	blau	Blue	Occasion	Bmw	11.4	l/100km
Occasion	blau mét.	158.0	BMW-ALPINA	6 SERIES	B6 4.4 V8 Cabrio	B6 4.4 V8 Cabrio	BMW-ALPINA B6 4.4 V8 Cabrio	Cabriolet	4398	Zuzwil	306 g/km	G	12.8 l/100km	2	Hinterradantrieb	4	2007	Benzin	500	beige	66800	"\"Ab MFK\""	4	Automat	blau	Blue	Occasion	Bmw-alpina	12.8	l/100km
Occasion	blau mét.	159.0	BMW	540	540i	540i	BMW 540i	Limousine	4398	Zuzwil	298 g/km	G	12.5 l/100km	4	Hinterradantrieb	11	1998	Benzin	286	grau	78700	"\"Ab MFK\""	5	Automat	blau	Blue	Occasion	Bmw	12.5	l/100km
Occasion	anthrazit mét.	16.0	MERCEDES-BENZ	SL 55 AMG	SL 55 AMG	SL 55 AMG	MERCEDES-BENZ SL 55 AMG	Cabriolet	5439	Zuzwil	340 g/km	G	14.2 l/100km	2	Hinterradantrieb	6	2002	Benzin	476	grau	16500	"\"Ab MFK\""	2	Automat	anthrazit	Anthracite	Occasion	Mercedes-benz	14.2	l/100km
Occasion	blau mét.	160.0	PORSCHE	BOXSTER	Boxster S 3.2	Boxster S 3.2	PORSCHE Boxster S 3.2	Cabriolet	3179	Zuzwil	281 g/km	G	11.3 l/100km	2	Hinterradantrieb	4	2000	Benzin	252	rot	43400	"\"Ab MFK\""	2	Automat	blau	Blue	Occasion	Porsche	11.3	l/100km
Neu	blau mét.	161.0	FERRARI	458	458 Italia 4.5 V8 Speciale	458 Italia 4.5 V8 Speciale	FERRARI 458 Italia 4.5 V8 Speciale	Coupé	4497	Zuzwil	275 g/km	G	11.8 l/100km	2	Hinterradantrieb	1	2015	Benzin	619	schwarz	200	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	blau	Blue	New	Ferrari	11.8	l/100km
Occasion	blau mét.	162.0	MERCEDES-BENZ	E 420	E 420 Elégance	E 420 Elégance	MERCEDES-BENZ E 420 Elégance	Limousine	4196	Zuzwil	326 g/km	null	14.3 l/100km	4	Hinterradantrieb	6	1996	Benzin	279	beige	26800	"\"Ab MFK\""	5	Automat	blau	Blue	Occasion	Mercedes-benz	14.3	l/100km
Occasion	blau mét.	163.0	MERCEDES-BENZ	ML 63 AMG	ML 63 AMG 4Matic	ML 63 AMG 4Matic	MERCEDES-BENZ ML 63 AMG 4Matic	SUV / Geländewagen	5461	Zuzwil	276 g/km	G	11.8 l/100km	5	Allrad	1	2013	Benzin	525	schwarz	25100	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Mercedes-benz	11.8	l/100km
Occasion	blau mét.	164.0	MERCEDES-BENZ	E 55 AMG	E 55 AMG Avantgarde	E 55 AMG Avantgarde	MERCEDES-BENZ E 55 AMG Avantgarde	Limousine	5439	Zuzwil	301 g/km	null	12.6 l/100km	4	Hinterradantrieb	10	1998	Benzin	354	schwarz	35000	"\"Ab MFK\""	5	Automat	blau	Blue	Occasion	Mercedes-benz	12.6	l/100km
Occasion	blau mét.	165.0	MERCEDES-BENZ	S 600	S 600	S 600	MERCEDES-BENZ S 600	Coupé	5984	Zuzwil	null	null	null	2	Hinterradantrieb	8	1993	Benzin	394	schwarz	111000	"\"Ab MFK\""	4	Automat	blau	Blue	Occasion	Mercedes-benz	null	""
Occasion	blau mét.	166.0	MERCEDES-BENZ	SLK 230	SLK 230 Kompressor	SLK 230 Kompressor	MERCEDES-BENZ SLK 230 Kompressor	Cabriolet	2295	Zuzwil	225 g/km	null	9.5 l/100km	2	Hinterradantrieb	7	1998	Benzin	193	mehrfarbig	166550	"\"Ab MFK\""	2	Automat	blau	Blue	Occasion	Mercedes-benz	9.5	l/100km
Occasion	blau mét.	167.0	LOTUS	ESPRIT	Esprit 3.5 V8 SE	Esprit 3.5 V8 SE	LOTUS Esprit 3.5 V8 SE	Coupé	3506	Zuzwil	366 g/km	G	15.7 l/100km	2	Hinterradantrieb	7	2002	Benzin	354	schwarz	36700	"\"Ab MFK\""	2	Schaltgetriebe manuell	blau	Blue	Occasion	Lotus	15.7	l/100km
Occasion	blau mét.	168.0	SUBARU	IMPREZA	Impreza 2.5T WRX	Impreza 2.5T WRX	SUBARU Impreza 2.5T WRX	Limousine	2457	Zuzwil	244 g/km	G	10.3 l/100km	4	Allrad	4	2006	Benzin	230	schwarz	161500	"\"Ab MFK\""	5	Schaltgetriebe manuell	blau	Blue	Occasion	Subaru	10.3	l/100km
Occasion	blau mét.	169.0	ASTON MARTIN	DB7	DB7	DB7	ASTON MARTIN DB7	Coupé	3239	Zuzwil	null	null	15.7 l/100km	2	Hinterradantrieb	4	1998	Benzin	332	beige	97200	"\"Ab MFK\""	4	Automatik-Getriebe	blau	Blue	Occasion	Aston Martin	15.7	l/100km
Occasion	anthrazit mét.	17.0	LAND ROVER	RANGE ROVER	Range Rover 4.4TD Vogue	Range Rover 4.4TD Vogue	LAND ROVER Range Rover 4.4TD Vogue	SUV / Geländewagen	4367	Zuzwil	253 g/km	G	9.4 l/100km	5	Allrad	1	2012	Diesel	312	beige	63200	"\"Ab MFK\", \"Direkt-/Parallelimport\""	5	Automat sequentiell	anthrazit	Anthracite	Occasion	Land Rover	9.4	l/100km
Occasion	blau mét.	170.0	MERCEDES-BENZ	S 500	S 500	S 500	MERCEDES-BENZ S 500	Limousine	5461	Zuzwil	286 g/km	G	12.2 l/100km	4	Hinterradantrieb	6	2006	Benzin	388	schwarz	48000	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Mercedes-benz	12.2	l/100km
Occasion	blau mét.	171.0	RENAULT	ALPINE	Alpine A310 V6	Alpine A310 V6	RENAULT Alpine A310 V6	Coupé	2664	Zuzwil	null	null	null	2	Hinterradantrieb	5	1981	Benzin	150	schwarz	68900	"\"Ab MFK\""	4	Schaltgetriebe manuell	blau	Blue	Occasion	Renault	null	""
Occasion	blau mét.	172.0	AUDI	RS6	RS6 Avant quattro	RS6 Avant quattro	AUDI RS6 Avant quattro	Kombi	4172	Zuzwil	350 g/km	G	14.6 l/100km	5	Allrad	7	2002	Benzin	450	beige	47600	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Audi	14.6	l/100km
Occasion	blau mét.	173.0	MASERATI	QUATTROPORTE	Quattroporte 4.2	Quattroporte 4.2	MASERATI Quattroporte 4.2	Limousine	4244	Zuzwil	443 g/km	G	18.9 l/100km	4	Hinterradantrieb	6	2004	Benzin	400	null	62700	"\"Ab MFK\""	5	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Maserati	18.9	l/100km
Oldtimer	blau mét.	174.0	RENAULT	ALPINE	ALPINE A310 1600 VG	A310 1600 VG	RENAULT ALPINE A310 1600 VG	Limousine	1647	Zuzwil	null	null	null	0	Hinterradantrieb	6	1976	Benzin	0	anthrazit	59800	"\"Ab MFK\""	0	Schaltgetriebe	blau	Blue	Antique Car	Renault	null	""
Occasion	blau mét.	175.0	AUDI	RS6	RS6 Avant quattro	RS6 Avant quattro	AUDI RS6 Avant quattro	Kombi	4172	Zuzwil	350 g/km	G	14.6 l/100km	5	Allrad	8	2002	Benzin	450	schwarz	39300	"\"Ab MFK\""	5	Automat	blau	Blue	Occasion	Audi	14.6	l/100km
Occasion	blau mét.	176.0	FERRARI	F360	F360 Modena Berlinetta	F360 Modena Berlinetta	FERRARI F360 Modena Berlinetta	Coupé	3586	Zuzwil	440 g/km	null	19.3 l/100km	2	Hinterradantrieb	3	2005	Benzin	400	braun	8000	"\"Ab MFK\""	2	Automatik-Getriebe	blau	Blue	Occasion	Ferrari	19.3	l/100km
Occasion	blau mét.	177.0	MERCEDES-BENZ	CL 500	CL 500	CL 500	MERCEDES-BENZ CL 500	Coupé	4966	Zuzwil	320 g/km	G	13.4 l/100km	2	Hinterradantrieb	9	2000	Benzin	306	grau	75100	"\"Ab MFK\""	4	Automat	blau	Blue	Occasion	Mercedes-benz	13.4	l/100km
Occasion	blau mét.	178.0	FERRARI	575M	575M	575M	FERRARI 575M	Coupé	5748	Zuzwil	499 g/km	G	21.8 l/100km	2	Hinterradantrieb	7	2002	Benzin	517	bordeaux	51200	"\"Ab MFK\""	2	Automatik-Getriebe	blau	Blue	Occasion	Ferrari	21.8	l/100km
Occasion	blau mét.	179.0	VOLVO	C70	C70 T5	C70 T5	VOLVO C70 T5	Coupé	2319	Zuzwil	234 g/km	null	9.8 l/100km	2	Vorderradantrieb	2	2001	Benzin	240	anthrazit	27900	"\"Ab MFK\""	4	Schaltgetriebe manuell	blau	Blue	Occasion	Volvo	9.8	l/100km
Occasion	anthrazit mét.	18.0	MERCEDES-BENZ	C 63 AMG	C 63 AMG BLACK SERIES (Coupé)	BLACK SERIES (Coupé)	MERCEDES-BENZ C 63 AMG BLACK SERIES (Coupé)	Coupé	6208	Zuzwil	null	null	null	2	Hinterradantrieb	8	2012	Benzin	517	schwarz	12100	"\"Ab MFK\""	2	Automatik-Getriebe	anthrazit	Anthracite	Occasion	Mercedes-benz	null	""
Occasion	blau mét.	180.0	LAND ROVER	RANGE ROVER	Range Rover 4.6 HSE	Range Rover 4.6 HSE	LAND ROVER Range Rover 4.6 HSE	SUV / Geländewagen	4554	Zuzwil	414 g/km	null	16.2 l/100km	5	Allrad	5	1998	Benzin	226	schwarz	49700	"\"Ab MFK\""	5	Automat	blau	Blue	Occasion	Land Rover	16.2	l/100km
Occasion	blau mét.	181.0	TOYOTA	CELICA	CELICA 1600 GT	1600 GT	TOYOTA CELICA 1600 GT	Coupé	1570	Zuzwil	null	null	null	2	Hinterradantrieb	8	1971	Benzin	107	mehrfarbig	53100	"\"Ab MFK\""	5	Schaltgetriebe manuell	blau	Blue	Occasion	Toyota	null	""
Occasion	blau mét.	182.0	FERRARI	F360	F360 Modena Berlinetta	F360 Modena Berlinetta	FERRARI F360 Modena Berlinetta	Coupé	3586	Zuzwil	440 g/km	G	19.3 l/100km	2	Hinterradantrieb	8	1999	Benzin	400	schwarz	20700	"\"Ab MFK\""	2	Automatik-Getriebe	blau	Blue	Occasion	Ferrari	19.3	l/100km
Occasion	blau mét.	183.0	BMW-ALPINA	7 SERIES	7 SERIES B7 Turbo Coupé	B7 Turbo Coupé	BMW-ALPINA 7 SERIES B7 Turbo Coupé	Coupé	2986	Zuzwil	null	null	null	2	null	4	1984	Benzin	300	schwarz	150200	null	4	Schaltgetriebe	blau	Blue	Occasion	Bmw-alpina	null	""
Occasion	blau mét.	184.0	MERCEDES-BENZ	SLR	SLR McLaren Roadster	McLaren Roadster	MERCEDES-BENZ SLR McLaren Roadster	Cabriolet	5439	Zuzwil	null	null	null	2	Hinterradantrieb	6	2008	Benzin	626	schwarz	2400	"\"Ab MFK\""	2	Automatik-Getriebe	blau	Blue	Occasion	Mercedes-benz	null	""
Occasion	blau mét.	185.0	PORSCHE	924	924	924	PORSCHE 924	Coupé	1984	Zuzwil	null	null	null	3	Hinterradantrieb	5	1985	Benzin	125	null	47000	null	4	Schaltgetriebe manuell	blau	Blue	Occasion	Porsche	null	""
Occasion	blau mét.	186.0	AUDI	A8	A8  6.0 quattro	A8  6.0 quattro	AUDI A8  6.0 quattro	Limousine	5998	Zuzwil	334 g/km	G	13.9 l/100km	4	Allrad	7	2004	Benzin	450	schwarz	49000	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Audi	13.9	l/100km
Occasion	blau mét.	187.0	AUDI	RS6	RS6 Avant 5.0 V10 quattro	RS6 Avant 5.0 V10 quattro	AUDI RS6 Avant 5.0 V10 quattro	Kombi	4991	Zuzwil	333 g/km	G	14.0 l/100km	5	Allrad	7	2008	Benzin	700	schwarz	46000	"\"Ab MFK\""	5	Automat sequentiell	blau	Blue	Occasion	Audi	14.0	l/100km
Oldtimer	blau mét.	188.0	RENAULT	ALPINE	Alpine A310 V6	Alpine A310 V6	RENAULT Alpine A310 V6	Coupé	2664	Zuzwil	null	null	null	2	Hinterradantrieb	6	1978	Benzin	150	blau	77300	"\"Ab MFK\""	4	Schaltgetriebe manuell	blau	Blue	Antique Car	Renault	null	""
Occasion	blau mét.	189.0	BMW	M3	M3	M3	BMW M3	Cabriolet	3246	Zuzwil	328 g/km	G	13.6 l/100km	2	Hinterradantrieb	3	2002	Benzin	343	schwarz	142000	"\"Ab MFK\""	4	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Bmw	13.6	l/100km
Occasion	anthrazit mét.	19.0	BMW-ALPINA	3 SERIES	3 SERIES B8	B8	BMW-ALPINA 3 SERIES B8	Limousine	4617	Zuzwil	null	null	null	4	Hinterradantrieb	1	1999	Benzin	333	mehrfarbig	146500	"\"Ab MFK\""	5	Schaltgetriebe	anthrazit	Anthracite	Occasion	Bmw-alpina	null	""
Occasion	blau mét.	190.0	MERCEDES-BENZ	SL 600	SL 600	SL 600	MERCEDES-BENZ SL 600	Cabriolet	5513	Zuzwil	346 g/km	G	14.4 l/100km	2	Hinterradantrieb	5	2003	Benzin	500	anthrazit	32500	"\"Ab MFK\", \"Tuning\""	2	Automat	blau	Blue	Occasion	Mercedes-benz	14.4	l/100km
Occasion	blau mét.	191.0	AUDI	RS4	RS4 Avant quattro	RS4 Avant quattro	AUDI RS4 Avant quattro	Kombi	2671	Zuzwil	288 g/km	G	12.0 l/100km	5	Allrad	2	2001	Benzin	380	null	37800	"\"Ab MFK\""	5	Schaltgetriebe manuell	blau	Blue	Occasion	Audi	12.0	l/100km
Occasion	blau mét.	192.0	MERCEDES-BENZ	CLK 55 AMG	CLK 55 AMG Avantgarde	CLK 55 AMG Avantgarde	MERCEDES-BENZ CLK 55 AMG Avantgarde	Coupé	5439	Zuzwil	281 g/km	null	11.7 l/100km	2	Hinterradantrieb	6	2002	Benzin	347	schwarz	52500	"\"Ab MFK\", \"Direkt-/Parallelimport\""	4	Automat	blau	Blue	Occasion	Mercedes-benz	11.7	l/100km
Occasion	blau mét.	193.0	MERCEDES-BENZ	SLK 230	SLK 230 Kompressor	SLK 230 Kompressor	MERCEDES-BENZ SLK 230 Kompressor	Cabriolet	2295	Zuzwil	233 g/km	null	9.7 l/100km	2	Hinterradantrieb	8	2002	Benzin	197	schwarz	30500	"\"Ab MFK\""	2	Automatik-Getriebe	blau	Blue	Occasion	Mercedes-benz	9.7	l/100km
Occasion	blau mét.	194.0	PORSCHE	911	911 Carrera 4S	911 Carrera 4S	PORSCHE 911 Carrera 4S	Coupé	3600	Zuzwil	null	null	12.3 l/100km	2	Allrad	3	1996	Benzin	285	mehrfarbig	139900	"\"Ab MFK\""	4	Schaltgetriebe manuell	blau	Blue	Occasion	Porsche	12.3	l/100km
Occasion	bordeaux	195.0	MITSUBISHI	LANCER	Lancer Evo VII	Lancer Evo VII	MITSUBISHI Lancer Evo VII	Limousine	1997	Zuzwil	null	null	null	4	Allrad	7	2003	Benzin	280	schwarz	35200	"\"Ab MFK\""	5	Schaltgetriebe manuell	bordeaux	Bordeaux	Occasion	Mitsubishi	null	""
Occasion	bordeaux	196.0	MERCEDES-BENZ	S 320	S 320	S 320	MERCEDES-BENZ S 320	Limousine	3199	Zuzwil	276 g/km	G	11.5 l/100km	4	Hinterradantrieb	6	2000	Benzin	224	anthrazit	14100	"\"Ab MFK\""	5	Automat	bordeaux	Bordeaux	Occasion	Mercedes-benz	11.5	l/100km
Occasion	bordeaux	197.0	MERCEDES-BENZ	SL 600	SL 600	SL 600	MERCEDES-BENZ SL 600	Cabriolet	5513	Zuzwil	346 g/km	G	14.4 l/100km	2	Hinterradantrieb	4	2004	Benzin	600	null	23000	"\"Ab MFK\""	2	Automat	bordeaux	Bordeaux	Occasion	Mercedes-benz	14.4	l/100km
Oldtimer	bordeaux	198.0	MERCEDES-BENZ	""	170V B Cabrio 136	170V B Cabrio 136	MERCEDES-BENZ 170V B Cabrio 136	Coupé	1697	Zuzwil	null	null	null	2	Hinterradantrieb	7	1939	Benzin	38	schwarz	1	null	4	Schaltgetriebe	bordeaux	Bordeaux	Antique Car	Mercedes-benz	null	""
Occasion	bordeaux mét.	199.0	MERCEDES-BENZ	S 500	S 500	S 500	MERCEDES-BENZ S 500	Limousine	5461	Zuzwil	286 g/km	G	12.2 l/100km	4	Hinterradantrieb	11	2005	Benzin	388	null	128000	"\"Ab MFK\""	5	Automat sequentiell	bordeaux	Bordeaux	Occasion	Mercedes-benz	12.2	l/100km
Occasion	anthrazit	2.0	AUDI	RS6	RS6 Avant 5.0 V10 quattro	RS6 Avant 5.0 V10 quattro	AUDI RS6 Avant 5.0 V10 quattro	Kombi	4991	Zuzwil	333 g/km	G	14.0 l/100km	5	Allrad	7	2008	Benzin	580	null	25400	"\"Ab MFK\""	5	Automat sequentiell	anthrazit	Anthracite	Occasion	Audi	14.0	l/100km
Occasion	anthrazit mét.	20.0	MERCEDES-BENZ	SL 55 AMG	SL 55 AMG	SL 55 AMG	MERCEDES-BENZ SL 55 AMG	Cabriolet	5439	Zuzwil	324 g/km	G	13.5 l/100km	2	Hinterradantrieb	3	2006	Benzin	517	schwarz	47000	"\"Ab MFK\""	2	Automat sequentiell	anthrazit	Anthracite	Occasion	Mercedes-benz	13.5	l/100km
Neu	bordeaux mét.	200.0	PORSCHE	911	911 Turbo S Cabrio	911 Turbo S Cabrio	PORSCHE 911 Turbo S Cabrio	Cabriolet	3800	Zuzwil	231 g/km	G	9.9 l/100km	2	Allrad	5	2014	Benzin	560	schwarz	450	"\"Ab MFK\""	4	Automatisiertes Schaltgetriebe	bordeaux	Bordeaux	New	Porsche	9.9	l/100km
Occasion	bordeaux mét.	201.0	MERCEDES-BENZ	SL 300	SL 300	SL 300	MERCEDES-BENZ SL 300	Cabriolet	2959	Zuzwil	null	null	null	2	Hinterradantrieb	6	1993	Benzin	231	schwarz	63600	"\"Ab MFK\""	2	Automat	bordeaux	Bordeaux	Occasion	Mercedes-benz	null	""
Occasion	bordeaux mét.	202.0	MERCEDES-BENZ	S 500	S 500	S 500	MERCEDES-BENZ S 500	Limousine	4966	Zuzwil	320 g/km	G	13.4 l/100km	4	Hinterradantrieb	5	2000	Benzin	306	schwarz	99900	"\"Ab MFK\""	5	Automat	bordeaux	Bordeaux	Occasion	Mercedes-benz	13.4	l/100km
Occasion	bordeaux mét.	203.0	AUDI	A8	A8 4.2 quattro	A8 4.2 quattro	AUDI A8 4.2 quattro	Limousine	4172	Zuzwil	288 g/km	G	12.0 l/100km	4	Allrad	4	2004	Benzin	335	grau	60000	"\"Ab MFK\""	5	Automat sequentiell	bordeaux	Bordeaux	Occasion	Audi	12.0	l/100km
Occasion	bordeaux mét.	204.0	FIAT	""	850 Spider	850 Spider	FIAT 850 Spider	Coupé	843	Zuzwil	null	null	null	2	Hinterradantrieb	8	1970	Benzin	49	schwarz	9999	null	0	Schaltgetriebe	bordeaux	Bordeaux	Occasion	Fiat	null	""
Occasion	bordeaux mét.	205.0	FERRARI	F360	F360 Modena Berlinetta	F360 Modena Berlinetta	FERRARI F360 Modena Berlinetta	Coupé	3586	Zuzwil	440 g/km	null	19.3 l/100km	2	Hinterradantrieb	8	1999	Benzin	400	null	30300	"\"Ab MFK\""	2	Automatik-Getriebe	bordeaux	Bordeaux	Occasion	Ferrari	19.3	l/100km
Occasion	bordeaux mét.	206.0	BENTLEY	""	T 2	T 2	BENTLEY T 2	Limousine	6744	Zuzwil	null	null	null	4	Hinterradantrieb	2	1979	Benzin	196	mehrfarbig	175100	"\"Ab MFK\""	5	Automatik-Getriebe	bordeaux	Bordeaux	Occasion	Bentley	null	""
