ConditionTypeText	BodyColorText	ID	MakeText	ModelText	ModelTypeText	TypeName	TypeNameFull	BodyTypeText	Ccm	City	Co2EmissionText	ConsumptionRatingText	ConsumptionTotalText	Doors	DriveTypeText	FirstRegMonth	FirstRegYear	FuelTypeText	Hp	InteriorColorText	Km	Properties	Seats	TransmissionTypeText	BodyColorTextShort	BodyColorTextEng	ConditionTypeTextEng	MakeTextNorm	extracted-value-ConsumptionTotalText	extracted-unit-ConsumptionTotalText
Occasion	silber mét.	1012.0	LAMBORGHINI	DIABLO	Diablo 5.7 VT	Diablo 5.7 VT	LAMBORGHINI Diablo 5.7 VT	Coupé	5707	Zuzwil	null	null	null	2	Allrad	8	1993	Benzin	492	schwarz	14990	"\"Ab MFK\""	2	Schaltgetriebe manuell	silber	Silver	Occasion	Lamborghini	null	""
Occasion	silber mét.	1013.0	MERCEDES-BENZ	""	300SL Roadster	300SL Roadster	MERCEDES-BENZ 300SL Roadster	Cabriolet	2995	Sursee	null	null	null	2	null	3	1960	Benzin	215	braun	1000	null	2	null	silber	Silver	Occasion	Mercedes-benz	null	""
Occasion	silber mét.	1014.0	ALFA ROMEO	8C	8C Coupé	Coupé	ALFA ROMEO 8C Coupé	Coupé	4691	Zuzwil	null	null	null	2	Hinterradantrieb	3	2008	null	450	schwarz	37000	null	0	Automatik-Getriebe	silber	Silver	Occasion	Alfa Romeo	null	""
Occasion	silber mét.	1015.0	MERCEDES-BENZ	ML 400	ML 400 CDI	ML 400 CDI	MERCEDES-BENZ ML 400 CDI	SUV / Geländewagen	3996	Zuzwil	288 g/km	G	10.9 l/100km	5	Allrad	11	2002	Diesel	250	schwarz	87800	"\"Ab MFK\""	5	Automat	silber	Silver	Occasion	Mercedes-benz	10.9	l/100km
Occasion	silber mét.	1016.0	VW	GOLF	Golf 2.0 TFSI GTI	Golf 2.0 TFSI GTI	VW Golf 2.0 TFSI GTI	Limousine	1984	Zuzwil	194 g/km	G	8.1 l/100km	5	Vorderradantrieb	2	2007	Benzin	200	grau	87000	"\"Ab MFK\""	5	Schaltgetriebe manuell	silber	Silver	Occasion	Vw	8.1	l/100km
Occasion	silber mét.	1017.0	VW	JETTA	Jetta 2.0 TDI Comfort	Jetta 2.0 TDI Comfort	VW Jetta 2.0 TDI Comfort	Limousine	1968	Zuzwil	154 g/km	E	5.8 l/100km	4	Vorderradantrieb	3	2009	Diesel	140	grau	33500	"\"Ab MFK\""	5	Automatisiertes Schaltgetriebe	silber	Silver	Occasion	Vw	5.8	l/100km
Occasion	silber mét.	1018.0	MERCEDES-BENZ	190	190 E 2.5-16 ABS	190 E 2.5-16 ABS	MERCEDES-BENZ 190 E 2.5-16 ABS	Limousine	2497	Zuzwil	null	null	null	4	Hinterradantrieb	1	1989	Benzin	195	schwarz	198000	"\"Ab MFK\""	5	Automat	silber	Silver	Occasion	Mercedes-benz	null	""
Occasion	silber mét.	1019.0	WIESMANN	COUPE	GT MF5	GT MF5	WIESMANN GT MF5	Coupé	4999	Zuzwil	null	G	14.1 l/100km	2	Hinterradantrieb	7	2008	Benzin	507	schwarz	34600	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	silber	Silver	Occasion	Wiesmann	14.1	l/100km
Occasion	blau mét.	102.0	PORSCHE	911	911 Turbo Cabrio	911 Turbo Cabrio	PORSCHE 911 Turbo Cabrio	Cabriolet	3800	Zuzwil	270 g/km	G	11.5 l/100km	2	Allrad	12	2009	Benzin	500	mehrfarbig	52000	"\"Ab MFK\", \"Direkt-/Parallelimport\""	4	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Porsche	11.5	l/100km
Vorführmodell	silber mét.	1020.0	BMW	Z4	Z4 M Coupé	Z4 M Coupé	BMW Z4 M Coupé	Coupé	3246	Zuzwil	292 g/km	G	12.1 l/100km	2	Hinterradantrieb	8	2011	Benzin	343	schwarz	10900	"\"Ab MFK\", \"Tuning\""	2	Schaltgetriebe manuell	silber	Silver	Demonstration Model	Bmw	12.1	l/100km
